,0,1,2
0,false,Elderly people were “beat up by a BLM hate group” for being white.,"By Samantha Putterman • September 2, 2020"
1,pants-fire,"“PELOSI says if President TRUMP, she will resign!!”","By Ciara O'Rourke • September 2, 2020"
2,pants-fire,"""PEDOPHILIA is now LEGAL in CALIFORNIA. Now a 21 year old can have sex with an 11 year old, and not be listed on the sex registry as a sex offender.""","By Chris Nichols • September 2, 2020"
3,pants-fire,“Covid-19 means ‘certificate of identification of vaccination with artificial intelligence.’”,"By Ciara O'Rourke • September 2, 2020"
4,mostly-true,“More cops have died from COVID this year than have been killed on patrol.”,"By Jon Greenberg • September 2, 2020"
5,false,Says Tony Evers and Mandela Barnes “have participated in rallies that have done more to incite than calm the situation” in Kenosha,"By Madeline Heim • September 1, 2020"
6,false,“The entire city (of Portland) is ablaze all the time.”,"By Bill McCarthy • September 1, 2020"
7,pants-fire,Says Chadwick Boseman was poisoned and his death is being investigated as a homicide.,"By Ciara O'Rourke • September 1, 2020"
8,false,Says Kamala Harris and other Democratic senators “voted to let babies scream until they die if born alive.”,"By Noah Y. Kim • September 1, 2020"
9,false,"Says video shows Kyle Rittenhouse, the 17-year-old charged with killing two protesters in Kenosha, ""was trying to get away from them"" ... ""fell, and then they violently attacked him.""","By Haley BeMiller • September 1, 2020"
10,false,“Says authorities found 39 children in a double wide trailer in Georgia and it's not the biggest news story in America.”,"By Samantha Putterman • September 1, 2020"
11,half-true,"In contrast to how a Black man who was shot by police was treated, Kenosha police officers ""let an armed white supremacist walk right past them after shooting people.""","By Haley BeMiller • September 1, 2020"
12,mostly-true,“I am not banning fracking.”,"By Jessica Calefati • September 1, 2020"
13,pants-fire,"“If I didn’t INSIST on having the National Guard activate and go into Kenosha, Wisconsin, there would be no Kenosha right now.”","By Eric Litke • September 1, 2020"
14,half-true,"“If you go to Antifa.com, it takes you directly to Joe Biden’s webpage...what’s that tell ya…try it yourself.”","By Samantha Putterman • September 1, 2020"
15,pants-fire,California voters who go to the polls to vote in person will be “TURNED AWAY & CANNOT VOTE” unless they change their voting preference to “NO to mail in voting.”,"By Chris Nichols • September 1, 2020"
16,pants-fire,"Says Ady Barkan asked Joe Biden, “Do we agree that we can redirect some of the funding for police?”","By Bill McCarthy • August 31, 2020"
17,pants-fire,Says Joe Biden was asleep and snoring during a TV interview.,"By Miriam Valverde • August 31, 2020"
18,pants-fire,"The CDC “adjusted the US Covid deaths from 153,504 to 9,210.”","By Daniel Funke • August 31, 2020"
19,pants-fire,"“If you vote by mail, your personal information will be part of a public database that will be used by police departments to track down old warrants and be used by credit card companies to collect outstanding debt. The CDC is even pushing to use records for mail-in voting to track people for mandatory vaccines.”","By Dave Boucher • August 31, 2020"
20,false,"Says a photo shows accused shooter Kyle Rittenhouse’s mother, armed with a long gun, in Kenosha, Wisconsin, on the night two protesters were killed and one injured.","By Madeline Heim • August 31, 2020"
21,half-true,"Says crime is on the rise in Austin and a new study showed that it “is the No. 1 city in America in the year-to-year percentage increase in murders, with a percentage increase of more than 64% for the first half of this year.”","By Madlin Mekelburg • August 31, 2020"
22,barely-true,"Says Sen. Gary Peters, D-Mich., is ""known for doing nothing. … (Peters) skipped 84% of small business hearings (and) skipped 89% of hearings on China.""","By Louis Jacobson • August 31, 2020"
23,pants-fire,Says Mark Kelly wants to “defund the police.”,"By Miriam Valverde • August 31, 2020"
